,ticker,as_of_date,-1m,-2m,-3m,0m,52w_change,PE,current_earning_avg,current_earning_d,current_earning_high,current_earning_low,current_price,current_ratio,current_revenue_avg,current_revenue_high,current_revenue_low,earningQtr_growth,free_cf,fwd_pe,pegRatio,priceToBook,profit_margin,tgt_high_price,tgt_low_price,tgt_median_price,trailingEps,growthPotential
0,BRK-B,4/28/20,50%,50%,60%,67%,-13%,0,,,,,187.1,3.4,,,,,"$54,037,999,616 ",16.9,0.8,0.0,32%,239,221,230,"49,828.50",23%
1,RCL,4/28/20,59%,70%,82%,77%,-67%,4.6,-0.4,4/29/20,0.5,-1,41.6,0.1,"$2,024,220,000 ","$2,323,000,000 ","$1,744,770,000 ",-14%,"($2,702,625)",20.9,2.2,0.7,17%,165,25,63,9,51%
2,OXY,4/28/20,16%,28%,33%,29%,-76%,-12.4,-0.6,5/5/20,-0.2,-1.1,15.2,1.3,"$5,177,750,000 ","$5,609,000,000 ","$4,609,000,000 ",,"($1,118,749,952)",-6.0,0.3,0.6,-3%,56,5,13,-1.2,-14%
3,DXC,4/28/20,53%,40%,59%,63%,-74%,-2.9,1,5/21/20,1.2,0.7,18,0.9,"$4,885,690,000 ","$4,962,000,000 ","$4,745,890,000 ",-82%,"$2,506,125,056 ",3.5,-0.6,0.5,-8%,45,15,31,-6.1,72%
4,SPG,4/28/20,44%,44%,77%,77%,-67%,9.3,1.6,5/5/20,1.7,1.6,63.3,0.3,"$1,285,230,000 ","$1,305,200,000 ","$1,257,290,000 ",-28%,"$1,918,494,720 ",8.4,1.0,7.8,37%,163,49,80,6.8,26%
5,UAL,4/28/20,50%,75%,59%,33%,-72%,2.4,-3,4/30/20,-0.2,-6,27.8,0.5,"$8,219,390,000 ","$8,966,000,000 ","$7,487,000,000 ",39%,"$1,237,250,048 ",5.2,-0.2,0.6,7%,111,24,44.5,11.6,60%
6,VNO,4/28/20,21%,21%,50%,58%,-42%,2.6,0.2,5/4/20,0.2,0.2,41.6,3.3,"$428,570,000 ","$432,310,000 ","$425,230,000 ",82%,"$937,882,112 ",51.3,3.7,1.4,157%,75,32,44,16.2,6%
7,AAL,4/28/20,100%,100%,100%,50%,-71%,3,-2.3,4/30/20,-0.4,-4.6,11.3,0.4,"$8,937,810,000 ","$9,865,000,000 ","$8,331,000,000 ",28%,"($17,750,000)",10.1,-0.1,,4%,41,5,13,3.8,15%
8,NCLH,4/28/20,65%,89%,62%,64%,-80%,3,-0.3,5/7/20,-0.2,-0.6,13.1,0.2,"$1,184,090,000 ","$1,312,900,000 ","$1,010,800,000 ",-22%,"($78,879,248)",23.0,0.1,0.4,14%,70,13,23,4.3,76%
9,NBL,4/28/20,69%,77%,68%,65%,-70%,-2.6,0,5/1/20,0.2,-0.4,8.2,0.7,"$1,084,340,000 ","$1,174,000,000 ","$897,920,000 ",,"$102,875,000 ",-11.6,0.4,0.5,-34%,22,6.8,11,-3.2,35%
10,XRX,4/28/20,33%,33%,75%,67%,-47%,3.1,0.4,7/28/20,0.7,0.1,17.7,1.8,"$1,721,580,000 ","$1,754,000,000 ","$1,677,000,000 ",497%,"$1,294,000,000 ",5.7,7.2,0.7,15%,47,13,20.5,5.8,16%
11,HP,4/28/20,40%,48%,17%,13%,-70%,-79.1,0,4/30/20,0.1,-0.4,19,2.8,"$557,470,000 ","$612,300,000 ","$374,000,000 ",61%,"$423,972,384 ",-10.4,5.3,0.5,-1%,39,7,20,-0.2,5%
12,FTI,4/28/20,74%,76%,72%,59%,-69%,-0.6,0.1,7/22/20,0.3,-0.1,8,1.1,"$3,256,990,000 ","$3,893,100,000 ","$2,619,000,000 ",,"($1,370,637,440)",11.9,1.8,0.9,-42%,32,4.5,11.5,-12.7,44%
13,UNM,4/28/20,8%,8%,21%,23%,-56%,3.3,1.4,5/4/20,1.4,1.3,17,7.7,"$3,047,900,000 ","$3,074,650,000 ","$3,019,920,000 ",19%,"$658,374,976 ",2.9,0.6,0.3,9%,44,16,18,5.2,6%
14,HAL,4/28/20,57%,83%,89%,89%,-69%,-3.6,-0.1,7/20/20,0.1,-0.3,9.5,2.1,"$3,574,880,000 ","$3,946,000,000 ","$3,227,000,000 ",,"$1,495,874,944 ",-28.8,0.4,1.2,-11%,18,5,9,-2.6,-5%
15,APA,4/28/20,19%,32%,29%,24%,-68%,-1.1,-0.3,5/6/20,0.3,-0.8,10.7,1.1,"$1,299,040,000 ","$1,396,000,000 ","$1,230,580,000 ",,"$1,045,124,992 ",-7.8,0.2,1.2,-57%,24,4,9,-9.4,-16%
16,FANG,4/28/20,91%,100%,94%,93%,-66%,25.9,1.4,5/4/20,2.2,0.7,38,0.7,"$991,940,000 ","$1,103,210,000 ","$877,620,000 ",,"($1,238,499,968)",15.1,1.1,0.5,6%,110,27,49.5,1.5,30%
17,PVH,4/28/20,60%,65%,81%,76%,-63%,9,-1.2,5/27/20,1,-3.3,50.6,1.4,"$1,433,420,000 ","$1,825,000,000 ","$797,000,000 ",,"$372,024,992 ",7.6,-4.1,0.6,4%,107,26,50,5.6,-1%
18,VIAC,4/28/20,48%,48%,0%,0%,-67%,,0.9,11/14/19,1.2,0.8,17.5,1.3,"$6,590,820,000 ","$6,772,000,000 ","$6,368,000,000 ",,"$15,557,499,904 ",3.8,4.1,,12%,51,10,21,,20%
19,DVN,4/28/20,63%,68%,55%,72%,-67%,-12.3,-0.2,5/5/20,0.2,-0.7,11,2.0,"$1,362,290,000 ","$1,601,070,000 ","$1,180,000,000 ",,"($859,875,008)",-15.2,0.0,0.7,-6%,25,6,12,-0.9,9%
20,DAL,4/28/20,61%,65%,88%,100%,-62%,4.5,-4.2,7/9/20,-2.4,-6.8,24.3,0.5,"$1,376,750,000 ","$2,089,000,000 ","$731,930,000 ",,"($752,499,968)",7.0,-0.9,1.1,8%,64,21,35,5.4,44%
21,BA,4/28/20,27%,30%,79%,56%,-66%,-116.8,-1.6,4/29/20,1.1,-3.3,131.3,1.1,"$17,305,600,000 ","$21,527,600,000 ","$15,036,000,000 ",,"($2,851,000,064)",12.3,-4.8,,-1%,194,95,150,-1.1,14%
22,JCI,4/28/20,42%,39%,56%,47%,-23%,4.5,0.4,5/1/20,0.4,0.3,29.7,1.2,"$5,500,920,000 ","$5,869,000,000 ","$5,205,000,000 ",-55%,"$2,553,625,088 ",13.3,0.8,1.2,23%,44,26,32,6.6,8%
23,KSS,4/28/20,11%,11%,17%,33%,-74%,4.5,-1.8,5/19/20,-0.6,-3.4,19.8,1.7,"$2,155,890,000 ","$2,515,000,000 ","$1,910,500,000 ",-3%,"$593,124,992 ",6.6,8.9,0.6,3%,48,16,20,4.4,1%
24,SLB,4/28/20,63%,75%,73%,70%,-62%,-1.2, -   ,7/17/20,0.1,-0.1,16.2,1.2,"$5,732,260,000 ","$6,277,000,000 ","$5,388,000,000 ",,"$3,747,500,032 ",538.3,-6.4,1.4,-55%,28,7,18,-12.9,11%
25,MPC,4/28/20,88%,88%,95%,74%,-57%,7.2,-0.3,5/5/20,0.2,-0.8,28.4,1.2,"$23,911,900,000 ","$31,592,500,000 ","$8,639,000,000 ",-53%,"$1,330,375,040 ",11.0,40.6,0.5,2%,90,26,41.5,4,46%
26,GM,4/28/20,83%,79%,72%,38%,-42%,4.9,0.3,5/6/20,0.8,-0.1,22.2,0.9,"$31,122,100,000 ","$32,981,800,000 ","$27,776,900,000 ",,"($6,140,250,112)",5.6,15.2,0.7,5%,59,21,33,4.6,49%
27,ALK,4/28/20,36%,53%,85%,79%,-55%,5.1,-1.1,5/5/20,-0.3,-2.1,31.6,0.6,"$1,719,050,000 ","$1,898,600,000 ","$1,544,750,000 ",687%,"$665,000,000 ",7.6,-6.3,0.9,9%,82,31,44,6.2,39%
28,CCL,4/28/20,22%,29%,67%,60%,-76%,5.3,-0.9,9/25/19,0.1,-2.1,14.5,0.3,"$2,601,440,000 ","$5,088,000,000 ","$8,000,000 ",,"($458,500,000)",9.8,15.7,0.4,9%,53,5,17,2.7,18%
29,MET,4/28/20,67%,67%,59%,56%,-25%,5.8,1.4,5/6/20,1.5,1.3,35.2,1.1,"$16,285,000,000 ","$18,144,000,000 ","$15,425,000,000 ",-71%,"$5,841,124,864 ",5.8,1.4,0.5,8%,59,32,43,6.1,22%
30,MOS,4/28/20,45%,52%,11%,21%,-56%,-4.1,-0.1,5/4/20,0.1,-0.2,11.5,1.4,"$1,643,470,000 ","$1,786,800,000 ","$1,365,280,000 ",,"($4,150,000)",10.7,4.6,0.5,-12%,36,12,18,-2.8,56%
31,LB,4/28/20,25%,29%,29%,27%,-55%,-9.5,-0.6,5/20/20,0,-1.7,12.6,1.4,"$1,832,360,000 ","$2,626,000,000 ","$1,217,000,000 ",,"$776,374,976 ",6.7,-3.2,,-3%,25,8,16,-1.3,27%
32,LYB,4/28/20,57%,55%,25%,29%,-41%,5.8,1.5,5/1/20,2,0.5,55.7,1.8,"$7,601,690,000 ","$8,448,950,000 ","$6,417,000,000 ",-12%,"$1,642,749,952 ",7.0,5.0,2.3,10%,94,50,60,9.6,8%
33,CINF,4/28/20,25%,22%,14%,14%,-15%,5.9,0.8,7/28/20,0.9,0.7,71.8,0.7,"$1,610,200,000 ","$1,645,000,000 ","$1,553,600,000 ",,"$3,727,000,064 ",18.7,-4.2,1.2,25%,135,68,82,12.1,14%
34,DFS,4/28/20,48%,48%,68%,64%,-54%,5.9,0.8,7/21/20,2.6,-2.2,40.1,1.4,"$2,671,240,000 ","$3,002,000,000 ","$2,415,000,000 ",,,6.1,-1.6,1.3,29%,81,36,54,6.7,35%
35,HBI,4/28/20,33%,33%,71%,47%,-49%,5.9,0.1,4/30/20,0.3,-0.1,9.8,1.8,"$1,335,680,000 ","$1,477,300,000 ","$1,272,200,000 ",21%,"$623,939,968 ",6.3,-5.3,2.9,9%,18,5.5,10,1.6,3%
36,PRU,4/28/20,38%,38%,35%,44%,-44%,6,2.8,5/5/20,3,2.5,60.7,0.6,"$13,924,100,000 ","$14,779,000,000 ","$13,498,000,000 ",34%,"$8,646,375,424 ",5.1,0.6,0.4,6%,101,47,67,10.1,10%
37,PXD,4/28/20,91%,91%,87%,88%,-51%,18.4,1.3,5/6/20,1.9,0.7,82.8,0.9,"$1,127,290,000 ","$1,257,490,000 ","$1,002,030,000 ",7%,"($246,875,008)",38.9,3.0,1.1,8%,182,71,100,4.5,21%
38,WHR,4/28/20,40%,40%,27%,33%,-21%,6.2,2.6,4/30/20,3.3,2.3,113.9,0.9,"$4,302,930,000 ","$4,521,000,000 ","$3,954,500,000 ",69%,"$1,418,249,984 ",7.7,45.3,2.2,6%,126,71,106,18.5,-7%
39,CXO,4/28/20,88%,82%,86%,83%,-53%,-15.2,0.7,4/30/20,0.9,0.1,54,0.9,"$1,083,620,000 ","$1,207,500,000 ","$899,000,000 ",,"($424,875,008)",386.0,8.0,0.6,-16%,105,38,66,-3.6,22%
40,HWM,4/28/20,75%,78%,0%,0%,-53%,,0.5,5/5/20,0.5,0.4,12,1.4,"$3,362,580,000 ","$3,442,000,000 ","$3,217,000,000 ",42%,"$823,625,024 ",5.1,0.7,,3%,33,10,14,,17%
41,NOV,4/28/20,41%,45%,24%,24%,-53%,-0.7,0.1,7/27/20,0.2,0,11.8,2.7,,,,,"$790,249,984 ",-61.9,-6.0,0.6,-72%,28,9,13,-16,10%
42,JWN,4/28/20,13%,17%,25%,15%,-51%,6.5,-0.8,5/19/20,0.3,-2.3,20.6,0.9,"$2,527,980,000 ","$3,543,500,000 ","$2,017,000,000 ",-23%,"$361,000,000 ",7.5,32.2,3.3,3%,48,15,24,3.2,16%
43,C,4/28/20,85%,85%,86%,59%,-34%,6.5,0.5,7/14/20,1.4,-1.1,47.2,,"$17,643,900,000 ","$18,846,000,000 ","$15,716,000,000 ",-47%,,7.5,-1.5,0.6,27%,95,39.4,56,7.3,19%
44,CMA,4/28/20,8%,8%,29%,37%,-56%,6.5,0.5,7/15/20,1.1,-0.6,35.2,,"$711,130,000 ","$741,000,000 ","$688,000,000 ",,,9.7,7.2,0.7,29%,49,27.8,34,5.4,-3%
45,CPRI,4/28/20,36%,40%,0%,0%,-69%,6.6,0.4,5/27/20,0.8,-0.5,15,0.8,"$1,203,880,000 ","$1,297,800,000 ","$918,000,000 ",5%,"$2,254,500,096 ",4.2,25.5,0.9,6%,46,11,23.5,2.3,56%
46,HFC,4/28/20,28%,22%,29%,29%,-38%,6.7,0.4,5/7/20,0.6,0.1,30.7,2.0,"$3,630,010,000 ","$3,900,000,000 ","$3,346,000,000 ",-57%,"$1,173,807,360 ",12.2,-9.3,0.8,4%,75,17,34.5,4.6,12%
47,COTY,4/28/20,21%,21%,31%,29%,-50%,-1.6,0,5/11/20,0.1,-0.1,5.8,0.9,"$1,528,190,000 ","$1,629,000,000 ","$1,467,000,000 ",,"$857,012,480 ",11.0,1.9,1.0,-33%,10,5,6.3,-3.7,8%
48,AIG,4/28/20,56%,53%,61%,53%,-49%,6.8,0.7,5/4/20,1.3,0.1,25.3,0.7,"$11,446,700,000 ","$11,624,800,000 ","$10,991,000,000 ",,"$406,500,000 ",5.3,2.0,0.3,7%,62,26,36,3.7,42%
49,PFG,4/28/20,8%,8%,38%,42%,-45%,6.8,1.2,7/27/20,1.4,1,33.6,2.2,"$3,800,720,000 ","$4,010,300,000 ","$3,591,130,000 ",27%,"$1,526,212,480 ",6.0,1.6,0.6,9%,51,32,38,5,13%
50,BEN,4/28/20,0%,0%,8%,8%,-51%,6.9,0.4,4/30/20,0.5,0.3,17.4,4.5,"$1,313,410,000 ","$1,379,600,000 ","$1,256,800,000 ",27%,"$1,087,200,000 ",10.0,-1.0,0.9,22%,19,11,17,2.5,-2%
51,HIG,4/28/20,56%,44%,50%,39%,-27%,7,1.4,4/29/20,1.6,1.3,39.3,1.9,"$5,205,000,000 ","$5,257,000,000 ","$5,153,000,000 ",180%,"$4,493,749,760 ",7.2,747.0,0.9,10%,70,39,51.5,5.7,31%
52,NLSN,4/28/20,53%,59%,53%,53%,-48%,-11.6,0.3,4/30/20,0.5,0.2,13.6,0.8,"$1,575,540,000 ","$1,600,000,000 ","$1,538,990,000 ",,"$441,000,000 ",7.8,-13.1,2.2,-6%,30,5.5,21,-1.2,54%
53,SYF,4/28/20,74%,74%,78%,71%,-49%,4.2,0.1,7/17/20,0.9,-1.3,18.7,,"$3,629,530,000 ","$3,897,900,000 ","$3,032,000,000 ",-74%,,6.2,-19.5,1.0,37%,42,16,22.5,4.5,20%
54,EXPE,4/28/20,47%,47%,77%,77%,-47%,19.1,-1,4/30/20,0.1,-2,71.8,0.7,"$2,326,090,000 ","$2,763,270,000 ","$1,727,500,000 ",347%,"$1,101,500,032 ",12.7,-19.3,2.6,5%,155,45,93.5,3.8,30%
55,STX,4/28/20,30%,28%,19%,11%,1%,7.2,1.3,4/22/20,1.4,1.2,49,1.5,"$2,620,110,000 ","$2,722,810,000 ","$2,585,000,000 ",64%,"$820,625,024 ",9.6,1.1,7.0,18%,70,36,55,6.8,12%
56,ALL,4/28/20,42%,40%,58%,55%,4%,7.3,3.5,5/5/20,4.5,2.8,101.8,0.7,"$9,175,630,000 ","$10,751,000,000 ","$8,431,000,000 ",,"($11,136,249,856)",9.5,-12.4,1.4,11%,135,94,119,14,17%
57,RE,4/28/20,20%,18%,22%,20%,-25%,7.3,3.9,5/6/20,6.6,3.1,179.7,0.9,"$1,966,420,000 ","$1,995,560,000 ","$1,894,100,000 ",,"$4,934,489,088 ",7.6,-1.9,0.8,12%,263,180,222,24.7,24%
58,CFG,4/28/20,80%,80%,48%,48%,-38%,7.6,0.1,7/17/20,0.7,-1.1,22.3,,"$1,664,830,000 ","$1,713,270,000 ","$1,588,000,000 ",-92%,,7.8,4.1,0.5,25%,35,18,27,3,21%
59,PHM,4/28/20,25%,31%,33%,32%,-13%,7.6,0.8,7/21/20,1,0,29,3.9,"$2,562,450,000 ","$2,832,000,000 ","$2,389,220,000 ",22%,"$607,783,616 ",9.4,2.8,1.4,10%,34,25,30,3.8,3%
60,HPQ,4/28/20,31%,15%,68%,67%,-25%,7.7,0.5,5/7/20,0.5,0.3,15.5,0.7,"$12,852,700,000 ","$13,862,000,000 ","$11,485,900,000 ",-16%,"$3,961,874,944 ",6.1,0.9,,5%,27,11,18,2,16%
61,LNC,4/28/20,69%,77%,50%,46%,-52%,7.7,2.2,5/6/20,2.3,1.9,33.7,3.4,"$4,534,610,000 ","$4,578,000,000 ","$4,465,660,000 ",8%,"$474,875,008 ",3.5,0.4,0.3,5%,52,26,40,4.4,19%
62,URI,4/28/20,71%,71%,33%,44%,-21%,7.7,2.7,4/29/20,3.6,2.3,116.6,0.8,"$2,089,350,000 ","$2,111,900,000 ","$2,051,100,000 ",9%,"$1,369,874,944 ",7.7,1.5,2.3,13%,195,105,134.5,15.1,15%
63,HRB,4/28/20,11%,11%,11%,11%,-45%,7.8,2.6,6/9/20,3.5,0.1,15.8,1.0,"$1,749,710,000 ","$1,836,200,000 ","$1,632,710,000 ",,"$241,299,504 ",4.3,4.0,,13%,20,12,16,2,1%
64,WU,4/28/20,5%,5%,17%,18%,-2%,7.8,0.4,5/5/20,0.5,0.4,19.1,0.4,"$1,233,240,000 ","$1,355,900,000 ","$1,177,000,000 ",-36%,"$166,187,504 ",9.8,1.6,,20%,28,15,20,2.5,5%
65,TPR,4/28/20,29%,32%,71%,60%,-53%,7.9,-0.1,4/30/20,0.1,-0.4,16.1,2.0,"$1,027,610,000 ","$1,147,000,000 ","$843,530,000 ",17%,"$396,375,008 ",8.7,-1.5,1.3,10%,48,13,18.5,2,15%
66,LEN,4/28/20,61%,72%,45%,59%,-13%,7.9,1,6/23/20,1.3,0.3,49.5,8.9,"$4,825,940,000 ","$5,289,000,000 ","$3,914,100,000 ",66%,"$1,022,644,864 ",9.3,1.6,1.0,9%,72,36,51,6.3,3%
67,BWA,4/28/20,53%,53%,43%,38%,-33%,7.9,0.6,5/6/20,0.9,0.4,28.6,1.6,"$2,089,550,000 ","$2,449,000,000 ","$1,832,900,000 ",-4%,"$580,374,976 ",8.2,1.7,1.3,7%,49,22,32,3.6,12%
68,BKR,4/28/20,86%,86%,78%,0%,-43%,,0,4/22/20,0.1,-0.1,14.2,1.4,"$4,862,860,000 ","$5,684,600,000 ","$4,359,000,000 ",,"$3,319,000,064 ",34.6,1.9,,-43%,25,12,16,,13%
69,BK,4/28/20,28%,26%,38%,30%,-26%,8.1,0.9,7/15/20,1,0.7,37.4,,"$3,812,150,000 ","$3,852,000,000 ","$3,719,460,000 ",4%,,10.0,4.1,0.9,27%,54,38,43,4.6,15%
70,FITB,4/28/20,57%,52%,14%,11%,-36%,8.1,0.3,4/22/19,0.7,-0.4,18.6,,"$1,866,690,000 ","$1,912,860,000 ","$1,806,000,000 ",-94%,,8.4,1.2,0.7,25%,28,14.3,20,2.3,8%
71,HOG,4/28/20,13%,19%,20%,23%,-49%,8.1,0.4,4/28/20,0.6,0.1,21.8,1.3,"$1,038,300,000 ","$1,164,000,000 ","$854,180,000 ",2627%,"$295,281,984 ",9.4,2.7,1.8,8%,34,17,23,2.7,5%
72,AMP,4/28/20,75%,75%,73%,55%,-23%,8.2,3.9,5/6/20,4.3,3.3,113.5,2.4,"$2,884,970,000 ","$2,964,000,000 ","$2,831,100,000 ",-14%,"$1,521,874,944 ",6.8,0.7,2.5,15%,158,110,136,13.9,20%
73,IVZ,4/28/20,18%,18%,73%,69%,-64%,8.2,0.4,7/23/20,0.5,0.3,8.5,9.2,"$1,083,660,000 ","$1,446,150,000 ","$976,000,000 ",-21%,"$3,721,637,376 ",5.1,-0.4,0.4,10%,12,4.5,8,1,-6%
74,TXT,4/28/20,54%,54%,57%,60%,-47%,8.3,0.5,4/30/20,0.6,0.4,29,2.0,"$2,972,910,000 ","$3,171,310,000 ","$2,648,000,000 ",-19%,"$683,750,016 ",10.2,2.6,1.2,6%,55,26,34,3.5,17%
75,MS,4/28/20,58%,56%,68%,63%,-19%,8.3,0.8,7/16/20,1.1,0.5,40.1,,"$8,977,340,000 ","$9,580,000,000 ","$7,952,000,000 ",-30%,,8.9,220.2,0.9,20%,60,34.4,46,4.8,15%
76,RF,4/28/20,50%,46%,21%,19%,-33%,8.4,0.1,7/17/20,0.3,-0.2,10.7,,"$1,455,110,000 ","$1,490,430,000 ","$1,410,500,000 ",-59%,,8.6,1.9,0.6,26%,16,8.7,12,1.3,12%
77,MRO,4/28/20,46%,52%,44%,44%,-72%,8.5,-0.1,5/6/20,0,-0.2,5,1.2,"$1,076,820,000 ","$1,259,500,000 ","$976,000,000 ",,"$161,750,000 ",-5.7,0.5,0.3,9%,25,3,5.5,0.6,10%
78,AFL,4/28/20,21%,21%,25%,20%,-26%,8.5,1.1,4/29/20,1.2,1,37.8,0.6,"$5,500,240,000 ","$5,563,210,000 ","$5,358,980,000 ",49%,"$2,718,125,056 ",8.3,3.9,0.9,15%,58,32,43,4.4,14%
