,date,revenue,earnings,actual,estimate,ticker,as_of_date
0,1Q2019,58015000000.0,11561000000,2.46,2.36,AAPL,4/28/20
1,2Q2019,53809000000.0,10044000000,2.18,2.1,AAPL,4/28/20
2,3Q2019,64040000000.0,13686000000,3.03,2.84,AAPL,4/28/20
3,4Q2019,91819000000.0,22236000000,4.99,4.55,AAPL,4/28/20
4,2Q2019,44957000000.0,3713000000,0.89,0.89,T,4/28/20
5,3Q2019,44588000000.0,3700000000,0.94,0.93,T,4/28/20
6,4Q2019,46821000000.0,2394000000,0.89,0.87,T,4/28/20
7,1Q2020,42779000000.0,4610000000,0.84,0.85,T,4/28/20
8,2Q2019,2488985000.0,241041000,0.86,0.83,PHM,4/28/20
9,3Q2019,2710365000.0,273104000,0.99,0.92,PHM,4/28/20
10,4Q2019,3016913000.0,335798000,1.22,1.09,PHM,4/28/20
11,1Q2020,2294980000.0,203711000,0.74,0.7,PHM,4/28/20
12,1Q2019,15304000000.0,233000000,0.46,0.6,ADM,4/28/20
13,2Q2019,16297000000.0,235000000,0.6,0.6,ADM,4/28/20
14,3Q2019,16726000000.0,407000000,0.77,0.69,ADM,4/28/20
15,4Q2019,16329000000.0,504000000,0.81,0.69,ADM,4/28/20
16,1Q2019,444736000.0,61748000,0.53,0.48,FLIR,4/28/20
17,2Q2019,481998000.0,46118000,0.56,0.55,FLIR,4/28/20
18,3Q2019,471248000.0,62047000,0.59,0.58,FLIR,4/28/20
19,4Q2019,489044000.0,1684000,0.55,0.62,FLIR,4/28/20
20,2Q2019,980400000.0,230400000,0.63,0.64,PAYX,4/28/20
21,3Q2019,992000000.0,264200000,0.71,0.68,PAYX,4/28/20
22,4Q2019,990700000.0,258700000,0.7,0.68,PAYX,4/28/20
23,1Q2020,1142700000.0,354500000,0.97,0.95,PAYX,4/28/20
24,2Q2019,2224000000.0,488000000,2.17,2.15,APD,4/28/20
25,3Q2019,2283200000.0,503200000,2.27,2.29,APD,4/28/20
26,4Q2019,2254700000.0,475600000,2.14,2.08,APD,4/28/20
27,1Q2020,2216300000.0,477800000,2.04,2.06,APD,4/28/20
28,1Q2019,595424000.0,201029000,2.31,2.07,ANET,4/28/20
29,2Q2019,608321000.0,189251000,2.44,2.2,ANET,4/28/20
30,3Q2019,654415000.0,208895000,2.69,2.41,ANET,4/28/20
31,4Q2019,552546000.0,260692000,2.29,2.1,ANET,4/28/20
32,1Q2019,6305900000.0,663200000,0.6,0.56,SBUX,4/28/20
33,2Q2019,6823000000.0,1372800000,0.78,0.72,SBUX,4/28/20
34,3Q2019,6747000000.0,802800000,0.7,0.7,SBUX,4/28/20
35,4Q2019,7097100000.0,885700000,0.79,0.76,SBUX,4/28/20
36,1Q2019,1204722000.0,22477000,0.05,0.0,UA,4/28/20
37,2Q2019,1191729000.0,-17349000,-0.04,-0.03,UA,4/28/20
38,3Q2019,1429456000.0,102315000,0.23,0.18,UA,4/28/20
39,4Q2019,1441225000.0,-15304000,0.1,0.1,UA,4/28/20
40,1Q2019,380364000.0,59252000,0.77,0.77,JKHY,4/28/20
41,2Q2019,393509000.0,60993000,0.79,0.77,JKHY,4/28/20
42,3Q2019,438005000.0,89370000,1.16,1.04,JKHY,4/28/20
43,4Q2019,419119000.0,72098000,0.94,0.89,JKHY,4/28/20
44,1Q2019,3552000000.0,597000000,1.81,1.8,ITW,4/28/20
45,2Q2019,3609000000.0,623000000,1.91,1.98,ITW,4/28/20
46,3Q2019,3479000000.0,660000000,2.04,1.94,ITW,4/28/20
47,4Q2019,3469000000.0,641000000,1.99,1.85,ITW,4/28/20
48,1Q2019,2779958000.0,337208000,0.81,0.73,OKE,4/28/20
49,2Q2019,2457575000.0,311963000,0.75,0.71,OKE,4/28/20
50,3Q2019,2263228000.0,309155000,0.74,0.74,OKE,4/28/20
51,4Q2019,2663606000.0,320251000,0.77,0.77,OKE,4/28/20
52,1Q2019,1297402000.0,108829000,1.57,1.52,IFF,4/28/20
53,2Q2019,1291568000.0,136377000,1.61,1.62,IFF,4/28/20
54,3Q2019,1267345000.0,127124000,1.53,1.53,IFF,4/28/20
55,4Q2019,1283769000.0,83543000,1.46,1.45,IFF,4/28/20
56,2Q2019,4024000000.0,272000000,1.85,1.83,PPG,4/28/20
57,3Q2019,3826000000.0,367000000,1.67,1.61,PPG,4/28/20
